RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
64,onehotWithInt,L1,Lion,None,16.616193M,5663.5955765247345,0.6847315942782655,0.7023402086202911
65,onehotWithInt,L1,Lion,OneCycleLR,16.616193M,5258.1628630161285,0.7035969561951393,0.7210355210515978
66,onehotWithInt,L1,Lion,ReduceLROnPlateau,16.616193M,6469.769298791885,0.7140179203407887,0.733231345678285
67,onehotWithInt,Huber,AdamW,None,16.616193M,12213.235007047653,0.737381185498469,0.7519827725494653
68,onehotWithInt,Huber,AdamW,OneCycleLR,16.616193M,20349.811774492264,0.7393812555382513,0.7540539077281997
69,onehotWithInt,Huber,AdamW,ReduceLROnPlateau,16.616193M,10992.80512547493,0.7370342352848811,0.7516530381034168
70,onehotWithInt,Huber,Lion,None,16.616193M,6471.840976238251,0.7202755320302292,0.7353379549997093
71,onehotWithInt,Huber,Lion,OneCycleLR,16.616193M,5256.6623911857605,0.7136453553580417,0.7287098620088648
72,onehotWithInt,Huber,Lion,ReduceLROnPlateau,16.616193M,6872.31639456749,0.6905840551768845,0.708057658482568
73,onehotWithBoth,MSE,AdamW,None,16.621313M,10588.239862203598,0.7368099773224882,0.7511859911153749
74,onehotWithBoth,MSE,AdamW,OneCycleLR,16.621313M,8965.752948760986,0.7316079120961118,0.7463738107664042
75,onehotWithBoth,MSE,AdamW,ReduceLROnPlateau,16.621313M,10590.80428314209,0.7382784498326702,0.7524869407838966
76,onehotWithBoth,MSE,Lion,None,16.621313M,4857.237593889236,0.6940991443413933,0.7116943689147053
77,onehotWithBoth,MSE,Lion,OneCycleLR,16.621313M,5258.338835477829,0.7163622061533151,0.7306357152558719
78,onehotWithBoth,MSE,Lion,ReduceLROnPlateau,16.621313M,5668.731527090073,0.717336260454717,0.7316168323674819
79,onehotWithBoth,L1,AdamW,None,16.621313M,14267.380335569382,0.7360680903986438,0.75140568909267
80,onehotWithBoth,L1,AdamW,OneCycleLR,16.621313M,8556.343858480453,0.7287783496030188,0.7448446615885863
81,onehotWithBoth,L1,AdamW,ReduceLROnPlateau,16.621313M,14264.784081459045,0.7367536703454546,0.7513875358230363
82,onehotWithBoth,L1,Lion,None,16.621313M,6073.37895655632,0.7033921764007394,0.7195600445443933
83,onehotWithBoth,L1,Lion,OneCycleLR,16.621313M,5258.348375797272,0.7091806638795017,0.7259176877229829
84,onehotWithBoth,L1,Lion,ReduceLROnPlateau,16.621313M,6074.467845201492,0.7005887884734845,0.7164678643369528
85,onehotWithBoth,Huber,AdamW,None,16.621313M,14261.411852121353,0.7381993132202421,0.7528755668286715
86,onehotWithBoth,Huber,AdamW,OneCycleLR,16.621313M,11001.47211265564,0.7332144549728316,0.7488269651731667
87,onehotWithBoth,Huber,AdamW,ReduceLROnPlateau,16.621313M,12636.368706226349,0.738539939222806,0.7532195184599085
88,onehotWithBoth,Huber,Lion,None,16.621313M,6474.492962837219,0.674439004063833,0.7281334819834011
89,onehotWithBoth,Huber,Lion,OneCycleLR,16.621313M,5258.541769742966,0.7144792155558853,0.7300274751724849
90,onehotWithBoth,Huber,Lion,ReduceLROnPlateau,16.621313M,5262.248851299286,0.7081084964596202,0.7241013944202446
