RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
162,onehotWithInt,Huber,Lion,ReduceLROnPlateau,3.402881M,1450.7147569656372,0.6844341929967074,0.7128115038045936
163,onehotWithBoth,MSE,AdamW,None,3.404161M,3711.9014649391174,0.7372458410851352,0.7513923704002547
164,onehotWithBoth,MSE,AdamW,OneCycleLR,3.404161M,4757.681670665741,0.7371477856200211,0.7517835661599391
165,onehotWithBoth,MSE,AdamW,ReduceLROnPlateau,3.404161M,4756.819573402405,0.7386763054363495,0.7529892793666869
166,onehotWithBoth,MSE,Lion,None,3.404161M,1548.8452410697937,0.7040984481011097,0.7193444085808947
167,onehotWithBoth,MSE,Lion,OneCycleLR,3.404161M,1064.3261904716492,0.6913401054764176,0.7065084519336273
168,onehotWithBoth,MSE,Lion,ReduceLROnPlateau,3.404161M,1355.6231293678284,0.6855823221757321,0.7123414789085638
169,onehotWithBoth,L1,AdamW,None,3.404161M,4094.001911878586,0.735479037540428,0.7508091833439886
170,onehotWithBoth,L1,AdamW,OneCycleLR,3.404161M,4757.750220537186,0.7324282370305127,0.7481112465779719
171,onehotWithBoth,L1,AdamW,ReduceLROnPlateau,3.404161M,4759.666072368622,0.7361551222106179,0.7511141995009857
172,onehotWithBoth,L1,Lion,None,3.404161M,1453.092563867569,0.6852910668939216,0.7136391801011648
173,onehotWithBoth,L1,Lion,OneCycleLR,3.404161M,1258.7673144340515,0.6806352347780914,0.7086738224717412
174,onehotWithBoth,L1,Lion,ReduceLROnPlateau,3.404161M,1551.6351370811462,0.6643700800263095,0.6945656535505587
175,onehotWithBoth,Huber,AdamW,None,3.404161M,4755.953426122665,0.7366034860153434,0.751826235573005
176,onehotWithBoth,Huber,AdamW,OneCycleLR,3.404161M,4757.244042873383,0.7368875685940917,0.75176302658684
177,onehotWithBoth,Huber,AdamW,ReduceLROnPlateau,3.404161M,4757.7981832027435,0.7377712730775436,0.7525473217844574
178,onehotWithBoth,Huber,Lion,None,3.404161M,1550.6237878799438,0.6913920256573804,0.7193642309844075
179,onehotWithBoth,Huber,Lion,OneCycleLR,3.404161M,1161.4027240276337,0.6859219350046601,0.7091797580274292
180,onehotWithBoth,Huber,Lion,ReduceLROnPlateau,3.404161M,1552.181220293045,0.6973664167431031,0.7189420855217257
