RunID,Seq_Enc,LossFn,Optimizer,LRScheduler,ModelSize,Training duration,r,rho
200,onehotWithN,MSE,AdamW,OneCycleLR,1.444801M,3491.9978353977203,0.7379513031599548,0.7549276899586552
201,onehotWithN,MSE,AdamW,ReduceLROnPlateau,1.444801M,2864.148155450821,0.739057485770562,0.7557372380619639
202,onehotWithN,MSE,Lion,None,1.444801M,926.1527028083801,0.7191314664706729,0.7345670429800134
203,onehotWithN,MSE,Lion,OneCycleLR,1.444801M,996.006588935852,0.6987458310034842,0.7220966099767115
204,onehotWithN,MSE,Lion,ReduceLROnPlateau,1.444801M,1286.4449625015259,0.7283347115626059,0.74380170628819
205,onehotWithN,L1,AdamW,None,1.444801M,3004.8817126750946,0.7370534149213529,0.7537229153847506
206,onehotWithN,L1,AdamW,OneCycleLR,1.444801M,3495.475875377655,0.7364478217056522,0.754642794795872
207,onehotWithN,L1,AdamW,ReduceLROnPlateau,1.444801M,3146.1092245578766,0.7384409092660567,0.7559241180711445
208,onehotWithN,L1,Lion,None,1.444801M,1933.2087280750275,0.7312525051120817,0.746848120589315
209,onehotWithN,L1,Lion,OneCycleLR,1.444801M,1143.0302302837372,0.7151777860929636,0.7309795269164593
210,onehotWithN,L1,Lion,ReduceLROnPlateau,1.444801M,1575.4836421012878,0.7253399423088885,0.7420517994556235
211,onehotWithN,Huber,AdamW,None,1.444801M,3493.2432169914246,0.7400898619141204,0.7566133592315046
212,onehotWithN,Huber,AdamW,OneCycleLR,1.444801M,3493.4841072559357,0.7388619639499793,0.7560149636137949
213,onehotWithN,Huber,AdamW,ReduceLROnPlateau,1.444801M,3142.4332196712494,0.7398449096171699,0.7568282535649575
214,onehotWithN,Huber,Lion,None,1.444801M,2932.7112905979156,0.7329447466693297,0.7497258883570103
215,onehotWithN,Huber,Lion,OneCycleLR,1.444801M,1069.6904525756836,0.717409135758223,0.7355341014580108
216,onehotWithN,Huber,Lion,ReduceLROnPlateau,1.444801M,3577.1810269355774,0.7337761502983075,0.751169158045382
217,onehotWithP,MSE,AdamW,None,1.446721M,2957.4353024959564,0.7398941950492378,0.7557174353913141
218,onehotWithP,MSE,AdamW,OneCycleLR,1.446721M,3524.0790631771088,0.7367113669108154,0.7525098769548954
219,onehotWithP,MSE,AdamW,ReduceLROnPlateau,1.446721M,3242.2577619552612,0.7407883316344883,0.7567445774975777
220,onehotWithP,MSE,Lion,None,1.446721M,1514.6652052402496,0.7286419968498388,0.7456437581191613
221,onehotWithP,MSE,Lion,OneCycleLR,1.446721M,1005.0213942527771,0.7165449167853433,0.7320821597586435
222,onehotWithP,MSE,Lion,ReduceLROnPlateau,1.446721M,865.3134436607361,0.7068265200606573,0.723112458713668
223,onehotWithP,L1,AdamW,None,1.446721M,2891.2830176353455,0.7378084638742599,0.7541786337073005
224,onehotWithP,L1,AdamW,OneCycleLR,1.446721M,3525.813244819641,0.7362154375990254,0.7546353159317183
225,onehotWithP,L1,AdamW,ReduceLROnPlateau,1.446721M,3524.943069934845,0.7381934356981876,0.7553325943785494
226,onehotWithP,L1,Lion,None,1.446721M,1513.7243294715881,0.7305308671626841,0.7462284177491715
227,onehotWithP,L1,Lion,OneCycleLR,1.446721M,1007.7409195899963,0.7121726184503516,0.7295327375948172
228,onehotWithP,L1,Lion,ReduceLROnPlateau,1.446721M,2308.5027692317963,0.7294277759988791,0.7466640844213771
229,onehotWithP,Huber,AdamW,None,1.446721M,3519.5273089408875,0.7379120469082339,0.7556109377357454
230,onehotWithP,Huber,AdamW,OneCycleLR,1.446721M,3522.113066673279,0.7394503372033443,0.7563105770400894
231,onehotWithP,Huber,AdamW,ReduceLROnPlateau,1.446721M,3522.0185861587524,0.7397797242920121,0.7560964550441195
232,onehotWithP,Huber,Lion,None,1.446721M,1369.8965227603912,0.7277382056363435,0.7441661155519866
233,onehotWithP,Huber,Lion,OneCycleLR,1.446721M,1078.3200385570526,0.7163129611123966,0.7341091775844045
234,onehotWithP,Huber,Lion,ReduceLROnPlateau,1.446721M,1368.6922364234924,0.7239932356020099,0.7418128347988459
235,onehotWithInt,MSE,AdamW,None,1.446721M,3098.7507882118225,0.7355276586265332,0.7510545676756027
236,onehotWithInt,MSE,AdamW,OneCycleLR,1.446721M,3520.9482572078705,0.7350498552545716,0.7498855421917546
237,onehotWithInt,MSE,AdamW,ReduceLROnPlateau,1.446721M,3383.229961156845,0.7364379816251806,0.7513908963904673
238,onehotWithInt,MSE,Lion,None,1.446721M,1292.3061389923096,0.7224393015555145,0.7375616827177319
239,onehotWithInt,MSE,Lion,OneCycleLR,1.446721M,1075.846964597702,0.7141353256455338,0.72999130227875
240,onehotWithInt,MSE,Lion,ReduceLROnPlateau,1.446721M,1436.9371542930603,0.7248768957816575,0.7398491926067748
241,onehotWithInt,L1,AdamW,None,1.446721M,3523.9870676994324,0.733200099171016,0.7484084270678331
242,onehotWithInt,L1,AdamW,OneCycleLR,1.446721M,3522.654068470001,0.7332898796624484,0.7496597370171697
243,onehotWithInt,L1,AdamW,ReduceLROnPlateau,1.446721M,3524.2805655002594,0.7349684541515981,0.750569072941501
244,onehotWithInt,L1,Lion,None,1.446721M,1587.32950091362,0.7230270302952151,0.7388364109094891
245,onehotWithInt,L1,Lion,OneCycleLR,1.446721M,1078.4879705905914,0.7048287563660502,0.720975888124376
246,onehotWithInt,L1,Lion,ReduceLROnPlateau,1.446721M,1587.6446113586426,0.7222562157797257,0.7401949379119924
247,onehotWithInt,Huber,AdamW,None,1.446721M,2886.970158100128,0.7332045069261716,0.7495625901712692
248,onehotWithInt,Huber,AdamW,OneCycleLR,1.446721M,3520.9487771987915,0.7352245899461539,0.7512939991750613
249,onehotWithInt,Huber,AdamW,ReduceLROnPlateau,1.446721M,3520.390263080597,0.7352290200803064,0.7513003647352802
250,onehotWithInt,Huber,Lion,None,1.446721M,2452.4872858524323,0.7285415483078284,0.7441821706842318
251,onehotWithInt,Huber,Lion,OneCycleLR,1.446721M,1005.5138738155365,0.7104484644612004,0.7263952345713086
252,onehotWithInt,Huber,Lion,ReduceLROnPlateau,1.446721M,1368.824709892273,0.7243976031151171,0.7402174986298927
253,onehotWithBoth,MSE,AdamW,None,1.448641M,3114.3841047286987,0.7349353260813842,0.7504771945740436
254,onehotWithBoth,MSE,AdamW,OneCycleLR,1.448641M,3539.2805042266846,0.7349912009917243,0.749953677417752
255,onehotWithBoth,MSE,AdamW,ReduceLROnPlateau,1.448641M,3115.1813645362854,0.7368885091357613,0.751464811583104
256,onehotWithBoth,MSE,Lion,None,1.448641M,1592.1387786865234,0.6844070112601497,0.7108676350301388
257,onehotWithBoth,MSE,Lion,OneCycleLR,1.448641M,1009.5100946426392,0.7127523881212625,0.7269243224484784
258,onehotWithBoth,MSE,Lion,ReduceLROnPlateau,1.448641M,1298.7664902210236,0.7005247184546781,0.7269434448264548
259,onehotWithBoth,L1,AdamW,None,1.448641M,3543.6333346366882,0.7350850964349108,0.750272238456066
260,onehotWithBoth,L1,AdamW,OneCycleLR,1.448641M,3543.8404409885406,0.7343738304013735,0.7504442703111673
261,onehotWithBoth,L1,AdamW,ReduceLROnPlateau,1.448641M,3542.3110675811768,0.735883210198731,0.7513608894726582
262,onehotWithBoth,L1,Lion,None,1.448641M,1231.421636581421,0.26185437081195434,0.7350717549366176
263,onehotWithBoth,L1,Lion,OneCycleLR,1.448641M,1011.0850524902344,0.7028065585390141,0.7221003446985346
264,onehotWithBoth,L1,Lion,ReduceLROnPlateau,1.448641M,1450.0677230358124,0.7076191798572942,0.7253114037774683
265,onehotWithBoth,Huber,AdamW,None,1.448641M,3325.927039384842,0.7345799133743355,0.749357283270543
266,onehotWithBoth,Huber,AdamW,OneCycleLR,1.448641M,3544.474372625351,0.7352664257070045,0.7507664187637706
267,onehotWithBoth,Huber,AdamW,ReduceLROnPlateau,1.448641M,3539.1780683994293,0.7362096704955177,0.7513803825668517
268,onehotWithBoth,Huber,Lion,None,1.448641M,1231.4034855365753,0.7217407299079609,0.7362728760441098
269,onehotWithBoth,Huber,Lion,OneCycleLR,1.448641M,1011.8378520011902,0.7114054062271459,0.7285693441722931
270,onehotWithBoth,Huber,Lion,ReduceLROnPlateau,1.448641M,3625.1414737701416,0.7328884912899053,0.7489335024417187
